subject,experiment,r_pcs_HJ,r_pcs_HJFL,r_pcs_JJFL
LTP093,ltpFR2,0.2860494930178441,0.45455347179087224,0.6268195951609671
LTP106,ltpFR2,0.21554170227223893,0.448690896565436,0.6068149569501332
LTP115,ltpFR2,0.3252132518687246,0.43185846711547193,0.6396984950253986
LTP117,ltpFR2,0.31570303166794916,0.4340521707385404,0.6502821641368728
LTP122,ltpFR2,0.31236021151168936,0.4312849925944163,0.6109089628494022
LTP123,ltpFR2,0.40261701631815955,0.5264308199124246,0.646730890602142
LTP133,ltpFR2,0.399448182055782,0.5197649501472782,0.6533294069697968
LTP138,ltpFR2,0.3440437360135087,0.47469768786766564,0.6759403987650355
LTP187,ltpFR2,0.2787936781223118,0.36360056015436193,0.6962575687089713
LTP207,ltpFR2,0.35873655379181985,0.5073277223112906,0.6640279761161636
LTP210,ltpFR2,0.39391285971983825,0.5050763839532937,0.6728974615805463
LTP228,ltpFR2,0.3614913576644296,0.41812820097823084,0.6368104928255881
LTP229,ltpFR2,0.38489449488202493,0.5016288823435223,0.6279910937365706
LTP236,ltpFR2,0.3390849808571133,0.48230864482106034,0.6506256277099134
LTP242,ltpFR2,0.05414538987622962,0.3093837436716621,0.7140823362231508
LTP246,ltpFR2,0.33902393819654864,0.4722685953745024,0.6178568896654885
LTP249,ltpFR2,0.22696639560875023,0.4340109056262098,0.6087536025937849
LTP250,ltpFR2,0.31643179647559483,0.4781174060923394,0.6406352949663299
LTP251,ltpFR2,0.32164173029234416,0.47315802152280106,0.6083989012887144
LTP258,ltpFR2,0.3045683744305721,0.4504449170700069,0.5908518023463786
LTP259,ltpFR2,0.3572107829031725,0.4892074663878184,0.6167151062630193
LTP260,ltpFR2,0.2889607202896835,0.5114586395261079,0.5843267940592812
LTP265,ltpFR2,0.340621093566506,0.47600833499900636,0.627479447701597
LTP269,ltpFR2,0.24999733202872412,0.4047658601047019,0.6131835101755031
LTP273,ltpFR2,0.35039309183698536,0.5514406122980268,0.634975906433682
LTP274,ltpFR2,0.5229582821220317,0.5806710795075427,0.7540970840107867
LTP278,ltpFR2,0.32397595039135074,0.5030122768827084,0.6237107395121121
LTP279,ltpFR2,0.2977757331268432,0.4183359683629178,0.6252463057152211
LTP280,ltpFR2,0.38816319280443523,0.5455073457999613,0.6689245538863204
LTP281,ltpFR2,0.4826550181911277,0.533187153941994,0.7796371376533
LTP283,ltpFR2,0.33656656589991074,0.47356188735586996,0.6494558713768653
LTP285,ltpFR2,0.28120917197385614,0.49357545690903487,0.6067006748366568
LTP287,ltpFR2,0.2680129289920834,0.4295049212158859,0.6837017049853564
LTP290,ltpFR2,0.27057040675565,0.4759813775455857,0.6448433995392984
LTP293,ltpFR2,0.31464721346313235,0.48109299944366296,0.6339342861549773
LTP295,ltpFR2,0.3380345926090777,0.49141448479067096,0.6241423756307701
LTP296,ltpFR2,0.3460817462224931,0.48639140772550327,0.6612877553858179
LTP297,ltpFR2,0.3155736584403016,0.4503848317293219,0.6079560148876763
LTP298,ltpFR2,0.27883342281349177,0.41662022159938794,0.6701083333105333
LTP299,ltpFR2,0.33777566436327455,0.4762576851576155,0.5986688612783418
LTP300,ltpFR2,0.32690743811526385,0.45523039349996414,0.5434056832235512
LTP301,ltpFR2,0.2660958399173177,0.4112680713554077,0.6242697908889501
