subject,experiment,scs
LTP093,ltpFR2,0.5142235451578437
LTP106,ltpFR2,0.5447325382436992
LTP115,ltpFR2,0.5455911868900847
LTP117,ltpFR2,0.5389166583756203
LTP122,ltpFR2,0.5492253421274624
LTP123,ltpFR2,0.5627423733682372
LTP133,ltpFR2,0.5299437498451236
LTP138,ltpFR2,0.5586201921076497
LTP187,ltpFR2,0.511523205065914
LTP207,ltpFR2,0.5186058716616384
LTP210,ltpFR2,0.5629948690667693
LTP228,ltpFR2,0.5063011753993125
LTP229,ltpFR2,0.5508829701082504
LTP236,ltpFR2,0.5561633835476549
LTP242,ltpFR2,0.5698713913273017
LTP246,ltpFR2,0.5125776251910545
LTP249,ltpFR2,0.5295330755134431
LTP250,ltpFR2,0.5513463830886381
LTP251,ltpFR2,0.5460428542284891
LTP258,ltpFR2,0.558444345652632
LTP259,ltpFR2,0.5260634043684363
LTP260,ltpFR2,0.5607357360508194
LTP265,ltpFR2,0.5340281104326537
LTP269,ltpFR2,0.5388131497289228
LTP273,ltpFR2,0.5150522236992515
LTP274,ltpFR2,0.5515967784468493
LTP278,ltpFR2,0.5135557249773451
LTP279,ltpFR2,0.5177250413150518
LTP280,ltpFR2,0.5338368641660507
LTP281,ltpFR2,0.5252892527948876
LTP283,ltpFR2,0.5426435476599777
LTP285,ltpFR2,0.5482824468489865
LTP287,ltpFR2,0.5245358760616241
LTP290,ltpFR2,0.5120619368576673
LTP293,ltpFR2,0.5534000755066957
LTP295,ltpFR2,0.5407247321057489
LTP296,ltpFR2,0.5468691483339044
LTP297,ltpFR2,0.5394078080044414
LTP298,ltpFR2,0.5473566421820285
LTP299,ltpFR2,0.5262853226635108
LTP300,ltpFR2,0.5340925679886449
LTP301,ltpFR2,0.5567595416398147
LTP302,ltpFR2,0.539355087235772
LTP303,ltpFR2,0.5199221747800459
LTP304,ltpFR2,0.5260499707389723
LTP305,ltpFR2,0.5192202124658489
LTP306,ltpFR2,0.5237940606997255
LTP307,ltpFR2,0.5365263695419535
LTP308,ltpFR2,0.5404423844557893
LTP309,ltpFR2,0.5025256066062874
LTP310,ltpFR2,0.5241598059444097
LTP311,ltpFR2,0.530741153401803
LTP312,ltpFR2,0.5095171432251917
LTP313,ltpFR2,0.5262068577818254
LTP314,ltpFR2,0.5331822491253554
LTP315,ltpFR2,0.5505635802973716
LTP316,ltpFR2,0.5380193438298292
LTP317,ltpFR2,0.530090947715746
LTP318,ltpFR2,0.5385731024383439
LTP319,ltpFR2,0.5271777175562494
LTP320,ltpFR2,0.5442405647766251
LTP321,ltpFR2,0.5272347790788483
LTP322,ltpFR2,0.5495607902151848
LTP323,ltpFR2,0.5459251655914911
LTP324,ltpFR2,0.5196162359273394
LTP325,ltpFR2,0.5501206788801223
LTP326,ltpFR2,0.5531459944898983
LTP327,ltpFR2,0.5310265698439958
LTP328,ltpFR2,0.5210497312152951
LTP329,ltpFR2,0.5652598348257981
LTP330,ltpFR2,0.553674664817207
LTP331,ltpFR2,0.5114361357303236
LTP334,ltpFR2,0.5544071644506253
LTP336,ltpFR2,0.5281636863653724
LTP337,ltpFR2,0.5699816574623531
LTP338,ltpFR2,0.5338192764347843
LTP339,ltpFR2,0.5338083053165213
LTP340,ltpFR2,0.5753763388138894
LTP341,ltpFR2,0.5378822380788949
LTP342,ltpFR2,0.5306911427533559
LTP343,ltpFR2,0.5336981356867202
LTP344,ltpFR2,0.530309940807249
LTP346,ltpFR2,0.5314140969158836
LTP347,ltpFR2,0.5102077246717147
LTP348,ltpFR2,0.5161194083589689
LTP349,ltpFR2,0.5309099183026493
LTP352,ltpFR2,0.5489231943742989
LTP353,ltpFR2,0.5562876664667449
LTP354,ltpFR2,0.5372595517143557
LTP355,ltpFR2,0.5386861148574391
LTP356,ltpFR2,0.5183905423212887
LTP357,ltpFR2,0.5416777881271565
LTP358,ltpFR2,0.5490313607271248
LTP359,ltpFR2,0.5301283003794398
LTP360,ltpFR2,0.5366212068475876
LTP361,ltpFR2,0.529838264858099
LTP362,ltpFR2,0.52588951237193
LTP363,ltpFR2,0.5476429545630753
LTP364,ltpFR2,0.5221821016456866
LTP365,ltpFR2,0.5534507520906431
LTP366,ltpFR2,0.5512720869276605
LTP367,ltpFR2,0.5182853638544404
LTP368,ltpFR2,0.5010039630736557
LTP369,ltpFR2,0.5197946922814691
LTP370,ltpFR2,0.5489110745721442
LTP371,ltpFR2,0.5358239041417957
LTP372,ltpFR2,0.5181948045960432
LTP373,ltpFR2,0.5646426071452659
LTP374,ltpFR2,0.5560993234722684
LTP375,ltpFR2,0.5726210152169582
LTP376,ltpFR2,0.5578417502622564
LTP377,ltpFR2,0.5394888013442657
LTP378,ltpFR2,0.525086522621555
LTP379,ltpFR2,0.5182413057712143
LTP381,ltpFR2,0.5452569230388233
LTP382,ltpFR2,0.5551936208120763
LTP383,ltpFR2,0.49385543254685293
LTP384,ltpFR2,0.5474626825047774
LTP385,ltpFR2,0.529553359508527
LTP386,ltpFR2,0.5399715877069535
LTP387,ltpFR2,0.549535495315679
LTP388,ltpFR2,0.5237762655405054
LTP389,ltpFR2,0.5264479185484732
LTP390,ltpFR2,0.549339510053159
LTP391,ltpFR2,0.5659699839059967
LTP392,ltpFR2,0.5272528806883435
LTP393,ltpFR2,0.5351947411239625
